RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,AVERAGE PROPERTY TAX,SALES TAX,INCOME TAX ($),NEW CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,DOCTORS PER '000
1,"St. Albert, Alta.",64.377,4.10%,4.3,"$128,270.17","$561,899.00","$373,426.00",2.91,"$3,286.00",5.00%,9474,17.54%,3.01,0.56,4.95,351.8,113.42,73.36,176.9,84.46,28.49,3.53,0.09,-25.28%,5648.98,48.9,27.72,1.1,2.61
2,"Calgary, Alta.","1,306,471",10.00%,5.9,"$119,771.69","$620,700.00","$435,825.00",3.64,"$2,782.00",5.00%,9474,21.33%,4.91,1.1,15.04,326.4,111.77,67.89,170.8,87.21,21.7,4.43,0.16,-24.23%,4442.43,59.53,61.66,1.11,2.51
3,"Strathcona County, Alta.",98.232,9.20%,4.2,"$137,509.40","$716,333.00","$408,331.00",2.97,"$3,398.00",5.00%,9474,18.95%,2.67,0.51,3.22,342.65,105.49,70.69,161.9,85.7,29.34,3.54,0.04,17.68%,4001.17,44.52,19.52,0.78,2.61
4,"Ottawa, Ont.",953.589,9.90%,7,"$103,186.09","$457,513.00","$398,845.00",3.87,"$2,283.00",13.00%,8694,22.26%,7.25,1.97,21.21,755.45,160.65,118.34,215.6,116.53,16.84,6.64,17.48,-15.24%,4589.7,57.64,59.21,0.91,2.45
5,"Burlington, Ont",187.497,6.80%,5.8,"$110,113.81","$623,548.00","$496,412.00",4.51,"$2,855.00",13.00%,8694,20.35%,3.4,0.69,7.59,763.27,135.77,113.91,239,125.32,2.66,9.07,40.8,-24.75%,2611.04,28.59,23.59,1.16,2.54
6,"Boucherville, Que.",41.928,4.60%,3.7,"$122,131.67","$581,748.00","$352,698.00",2.89,"$3,333.00",14.98%,11302,26.95%,2.66,1.51,13.63,844.01,168.19,124.98,228.2,111.82,8.42,7.46,32.93,-23.73%,5056.13,70.83,65.18,0.6,2.34
7,"Oakville, Ont.",196.722,9.80%,7,"$145,694.87","$948,281.00","$692,902.00",4.76,"$3,756.00",13.00%,8694,23.99%,2.99,0.53,14.52,725.63,117.55,102.43,221.7,107.18,2.66,8.05,18.25,-24.75%,2611.04,28.59,23.59,1.13,2.07
8,"Edmonton, Alta",868.392,9.50%,6.1,"$91,807.29","$390,402.00","$375,308.00",4.09,"$1,966.00",5.00%,9474,18.61%,5.1,1.14,11.72,347.76,122.93,77.31,185.1,88.38,24.62,4.18,1.45,-26.31%,7460.89,91.8,115.38,1.12,2.61
9,"Regina, Sask.",221.999,7.30%,4.8,"$91,328.02","$392,064.00","$372,335.00",4.08,"$1,965.00",10.00%,10195,15.36%,5.38,1.25,4,321.11,114.13,74.7,152.9,107.46,45.04,2.73,7.72,-24.28%,10393.1,120.17,116.45,1.52,2.36
10,"Québec, Que.",535.353,6.30%,4.7,"$70,627.27","$233,850.00","$249,015.00",3.53,"$1,609.00",14.98%,11302,25.62%,8.07,1.53,12.68,899.3,174.93,118.16,194.5,94.07,31.14,4.22,3.53,-25.92%,3987.91,50.82,55.69,0.86,3.35
